College Name,Avg Sentiment,Avg Rating,Review Count
Bipin Tripathi  Kumaon Institute of Technology,0.9805,8.5,2
Sreyas Institute of Engineering and Technology - [SIET],0.6679,8.5,4
A. P. Shah Institute of Technology - [APSIT],0.95485,8.5,2
KJ Institute of Engineering and Technology - [KJIT],0.9769,8.5,1
Sahyadri College of Engineering & Management (SCEM),0.9741,8.5,1
Vivekananda Institute of Technology - [VIT],0.9072,8.5,1
Kakatiya Institute of Technology & Science - [KITSW],0.96165,8.5,2
National Institute of Technology - [NITC],0.82094,8.5,5
IIT Indore - Indian Institute of Technology - [IITI],0.9364,8.5,1
Dhanekula Institute of Engineering and Technology - [DIET],0.5708,8.5,1
Chartered Institute of Technology- [CIT],0.8338,8.5,1
D. Y. Patil College of Engineering,0.9581666666666666,8.5,3
"Bharathidasan Institute of Technology, Anna University - [AUBIT]",0.9225,8.5,1
Institute of Road and Transport Technology - [IRTTECH],0.9264,8.5,1
Heritage Institute of Technology - [HIT],0.6470181818181818,8.490909090909092,11
Nitte Meenakshi Institute of Technology - [NMIT],0.82162,8.49,10
Madanapalle Institute of Technology & Science -[MITS],0.9388857142857143,8.485714285714286,7
Siksha 'O' Anusandhan University - [SOA],0.71915,8.483333333333333,6
Dr. Ambedkar Institute of Technology - [AIT],0.96764,8.48,5
Smt Kashibai Navale College of Engineering - [SKNCOE] Vadgaon,0.7690400000000001,8.48,5
SRM Institute of Science and Technology - [SRMIST],0.7958538461538461,8.476923076923077,39
MIT World Peace University - [MIT-WPU],0.92285,8.475,4
Sreenidhi Institute of Science and Technology - [SNIST],0.7793818181818182,8.472727272727273,11
K L University - [KLU],0.837209090909091,8.472727272727273,11
TKR College of Engineering and Technology - [TKRCET],0.8594666666666666,8.466666666666667,3
KCG College Of technology,0.8150999999999999,8.45,2
Cochin University of Science and Technology - [CUSAT],0.7565,8.45,4
St. Thomas College of Engineering and Technology - [STCET],0.9545,8.433333333333334,3
Siddharth Institute of Engineering & Technology - [SIETK],0.7481,8.433333333333334,3
National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],0.6003666666666666,8.433333333333334,3
Lovely Professional University - [LPU],0.8315850746268657,8.429850746268656,67
KIET Group of Institutions - [KIET],0.8815272727272727,8.427272727272728,11
Amity University,0.7139538461538462,8.415384615384616,13
Sri Krishna College of Engineering and Technology - [SKCET],0.96495,8.4,2
KLS Gogte Institute of Technology - [KLS GIT],0.95155,8.4,2
BV Raju Institute of Technology - [BVRIT],0.8745666666666666,8.4,6
Amal Jyothi College of Engineering  - [AJCE],0.8104999999999999,8.4,3
Delhi Technological University - [DTU],0.89770625,8.4,32
PA College of Engineering - [PACE],0.6758500000000001,8.4,2
KMEA Engineering College - [KMEA EC],0.90345,8.4,2
Muthoot Institute of Technology & Science - [MITS],0.85535,8.4,2
HKBK Group of Institutions,0.9117666666666667,8.4,3
